,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%,OPS%,OCT,OSA,OSV
313,X. Dickson,4.0,3.25,0.0,0.5,6.0,4.5,1.75,22.5,16.0,13.0,4.0,6.5,7.0,13.0,12.75,47.400000000000006,45.3,9.0,13.0,14.0
49,C. Heacock,1.0,1.0,0.0,0.0,3.3333333333333335,2.6666666666666665,0.3333333333333333,14.666666666666666,10.333333333333334,13.0,7.0,6.666666666666667,4.0,14.666666666666666,12.0,48.93333333333333,47.400000000000006,6.5,13.0,12.75
129,J. Koras,2.0,1.0,0.0,0.0,5.0,3.0,1.0,17.0,12.0,13.0,7.0,7.0,4.0,14.0,13.0,54.6,49.1,6.5,12.5,11.0
134,J. Nardella,1.0,0.0,0.0,0.0,2.0,1.0,13.0,15.0,11.0,13.0,7.0,9.0,4.0,13.0,14.0,45.3,47.400000000000006,6.5,13.0,12.75
164,K. Winkoff,2.0,1.0,0.0,1.0,4.0,1.0,1.0,17.0,12.0,13.0,7.0,7.0,4.0,14.0,13.0,54.6,47.63333333333333,7.666666666666667,13.333333333333334,12.666666666666666
181,M. Chanenchuk,1.0,0.3333333333333333,1.0,0.3333333333333333,5.0,3.6666666666666665,0.3333333333333333,22.666666666666668,16.666666666666668,13.0,7.0,6.666666666666667,4.0,14.666666666666666,12.0,48.93333333333333,48.833333333333336,7.666666666666667,13.0,12.333333333333334
211,M. Rambo,2.0,1.0,0.0,1.3333333333333333,3.6666666666666665,2.0,0.0,23.0,16.666666666666668,13.0,7.0,6.666666666666667,4.0,14.666666666666666,12.0,48.93333333333333,47.400000000000006,6.5,13.0,12.75
264,R. Puglise,1.0,0.5,0.0,0.5,0.5,0.5,0.5,8.5,7.0,13.0,7.0,5.5,4.0,15.5,11.0,50.75,55.1,10.0,12.0,8.0
305,TJ Malone,3.0,2.3333333333333335,0.0,1.0,6.666666666666667,5.0,1.3333333333333333,30.333333333333332,22.0,13.0,7.0,6.666666666666667,4.0,14.666666666666666,12.0,48.93333333333333,47.400000000000006,6.5,13.0,12.75
327,Z. Williams,2.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,7.0,4.0,1.0,17.333333333333332,9.333333333333334,13.0,7.0,6.666666666666667,4.0,14.666666666666666,12.0,48.93333333333333,45.7,6.5,13.5,14.5
43,C. Fields,3.0,2.6666666666666665,0.0,0.6666666666666666,7.333333333333333,4.333333333333333,1.3333333333333333,29.0,19.0,14.0,1.0,5.0,3.0,12.0,18.0,45.53333333333333,48.93333333333334,6.0,13.0,14.0
203,M. Moore,0.0,0.0,0.0,0.3333333333333333,3.6666666666666665,1.3333333333333333,0.6666666666666666,28.666666666666668,24.0,14.0,1.0,5.0,3.0,12.0,18.0,45.53333333333333,48.93333333333334,6.0,13.0,14.0
213,M. Sisselberger,0.0,1.0,0.0,0.0,1.0,1.0,19.0,18.0,14.0,14.0,1.0,4.0,3.0,11.0,23.0,45.6,45.8,6.0,19.0,13.0
221,M. Woodward,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.5,8.5,14.0,1.0,5.5,3.0,12.5,15.5,45.5,48.93333333333334,6.0,13.0,14.0
229,P. Bond,0.0,0.5,0.0,0.0,2.5,1.5,4.0,16.0,12.0,14.0,1.0,5.0,3.0,14.5,18.0,43.75,48.93333333333334,6.0,13.0,14.0
238,R. Ambler,2.0,0.6666666666666666,0.0,1.0,3.0,1.6666666666666667,0.6666666666666666,14.666666666666666,10.333333333333334,14.0,1.0,5.0,3.0,12.0,18.0,45.53333333333333,50.5,6.0,10.0,14.5
292,T. Leclaire,1.0,2.0,0.0,0.0,3.3333333333333335,2.6666666666666665,0.3333333333333333,14.0,10.0,14.0,1.0,5.0,3.0,12.0,18.0,45.53333333333333,47.82,6.4,14.2,13.6
298,T. Schreiber,2.0,0.6666666666666666,0.3333333333333333,2.0,4.0,2.3333333333333335,0.3333333333333333,31.333333333333332,26.666666666666668,14.0,1.0,5.0,3.0,12.0,18.0,45.53333333333333,45.8,6.0,19.0,13.0
3,A. Nolting,3.0,1.0,0.0,3.3333333333333335,4.666666666666667,3.3333333333333335,2.3333333333333335,26.666666666666668,19.333333333333332,14.0,3.0,6.0,1.0,13.0,14.0,48.93333333333334,43.75,5.0,14.5,18.0
29,C. Aslanian,4.0,0.0,0.0,0.0,4.0,1.0,0.0,16.0,12.0,14.0,3.0,6.0,1.0,19.0,13.0,45.8,45.6,4.0,11.0,23.0
58,C. Kirst,0.0,0.8,0.0,0.4,3.4,2.0,1.2,13.0,9.2,14.0,3.0,6.4,1.0,14.2,13.6,47.82,45.53333333333333,5.0,12.0,18.0
69,C. van Raaphorst,0.0,0.0,0.0,0.3333333333333333,2.0,0.3333333333333333,3.3333333333333335,8.0,5.333333333333333,14.0,3.0,6.0,1.0,13.0,14.0,48.93333333333334,45.53333333333333,5.0,12.0,18.0
