,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%,OPS%,OCT,OSA,OSV
194,M. Jones,0.0,0.8,0.4,0.8,4.0,2.2,1.4,19.8,14.6,18.0,4.0,7.0,6.0,13.6,13.0,45.46,47.2,6.0,8.0,11.0
235,P. Rezanka,1.0,1.0,0.0,0.0,2.0,2.0,2.0,5.0,3.0,18.0,4.0,10.0,6.0,15.0,16.0,44.7,49.133333333333326,6.333333333333333,13.666666666666666,10.333333333333334
283,T. Baptiste,2.0,0.25,0.0,0.25,1.25,0.75,8.75,11.0,9.25,18.0,4.0,8.0,6.0,14.0,13.0,45.150000000000006,49.133333333333326,6.333333333333333,13.666666666666666,10.333333333333334
286,T. Carpenter,0.0,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667,1.6666666666666667,6.0,11.0,9.333333333333334,18.0,4.0,7.333333333333333,6.0,13.666666666666666,12.0,45.300000000000004,49.133333333333326,6.333333333333333,13.666666666666666,10.333333333333334
314,X. Dickson,3.0,3.0,0.0,0.8,6.4,4.4,1.6,21.8,14.8,18.0,4.0,7.0,6.0,13.6,13.0,45.46,49.133333333333326,6.333333333333333,13.666666666666666,10.333333333333334
24,B. O'Neill,0.0,2.6666666666666665,0.3333333333333333,1.0,8.333333333333334,4.666666666666667,1.6666666666666667,33.333333333333336,24.0,18.0,6.0,6.333333333333333,4.0,13.666666666666666,10.333333333333334,49.133333333333326,43.05,6.25,14.0,14.25
40,C. Ferrara,1.0,0.3333333333333333,0.0,1.0,2.6666666666666665,1.6666666666666667,0.3333333333333333,18.0,14.333333333333334,18.0,6.0,6.333333333333333,4.0,13.666666666666666,10.333333333333334,49.133333333333326,49.133333333333326,6.333333333333333,13.666666666666666,10.333333333333334
78,D. Gergar,2.0,0.0,0.0,0.0,5.0,3.0,1.0,12.0,7.0,18.0,6.0,6.0,4.0,8.0,11.0,47.2,45.46,7.0,13.6,13.0
84,D. Young,0.0,0.5,0.0,1.0,3.0,1.5,0.5,11.0,8.0,18.0,6.0,5.0,4.0,12.5,13.0,48.25,45.46,7.0,13.6,13.0
99,G. Bundy,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,7.0,3.0,0.6666666666666666,22.666666666666668,15.333333333333334,18.0,6.0,6.333333333333333,4.0,13.666666666666666,10.333333333333334,49.133333333333326,37.7,9.0,16.0,14.0
111,J. Anderson,2.0,1.3333333333333333,0.0,0.3333333333333333,3.3333333333333335,2.0,2.3333333333333335,17.333333333333332,13.333333333333334,18.0,6.0,6.333333333333333,4.0,13.666666666666666,10.333333333333334,49.133333333333326,45.46,7.0,13.6,13.0
113,J. Bernhardt,1.0,0.0,0.0,0.0,1.0,0.0,2.5,9.5,8.5,18.0,6.0,5.5,4.0,10.0,12.5,48.75,49.900000000000006,10.0,13.5,12.0
137,J. Piseno,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,3.3333333333333335,11.0,8.666666666666666,18.0,6.0,6.333333333333333,4.0,13.666666666666666,10.333333333333334,49.133333333333326,46.05,8.0,13.75,12.75
151,J. Zawada,0.0,1.6666666666666667,0.0,1.0,6.0,4.666666666666667,0.3333333333333333,36.666666666666664,28.666666666666668,18.0,6.0,6.333333333333333,4.0,13.666666666666666,10.333333333333334,49.133333333333326,45.150000000000006,8.0,14.0,13.0
170,L. Wierman,0.0,0.6666666666666666,0.0,0.0,1.6666666666666667,1.0,8.333333333333334,9.0,6.333333333333333,18.0,6.0,6.333333333333333,4.0,13.666666666666666,10.333333333333334,49.133333333333326,44.7,10.0,15.0,16.0
199,M. Manley,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,8.0,18.0,6.0,6.0,4.0,8.0,11.0,47.2,45.46,7.0,13.6,13.0
272,S. Handley,1.0,1.0,0.3333333333333333,1.3333333333333333,6.333333333333333,3.0,0.6666666666666666,25.333333333333332,17.666666666666668,18.0,6.0,6.333333333333333,4.0,13.666666666666666,10.333333333333334,49.133333333333326,45.300000000000004,7.333333333333333,13.666666666666666,12.0
14,B. Dobson,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,15.0,19.0,1.0,6.0,7.0,18.0,13.0,41.9,49.27499999999999,6.25,14.0,12.5
44,C. Fields,3.0,2.75,0.0,0.5,7.5,5.0,1.25,29.0,19.0,19.0,1.0,6.0,7.0,12.5,15.5,45.275,49.27499999999999,6.25,14.0,12.5
96,G. Ament,3.0,2.0,0.0,1.25,4.25,2.5,0.5,27.25,22.0,19.0,1.0,6.0,7.0,12.5,15.5,45.275,52.45,6.0,13.0,13.5
204,M. Moore,2.0,0.0,0.0,0.25,3.25,1.0,1.0,25.0,20.25,19.0,1.0,6.0,7.0,12.5,15.5,45.275,46.833333333333336,6.666666666666667,12.333333333333334,11.333333333333334
208,M. O'Keefe,4.0,2.0,0.25,0.25,7.75,5.0,0.75,26.0,16.5,19.0,1.0,6.0,7.0,12.5,15.5,45.275,52.45,6.0,13.0,13.5
230,P. Bond,1.0,0.3333333333333333,0.0,0.0,2.0,1.3333333333333333,3.3333333333333335,15.0,11.666666666666666,19.0,1.0,6.333333333333333,7.0,14.333333333333334,14.666666666666666,44.0,50.3,5.0,12.0,14.0
239,R. Ambler,0.0,1.0,0.0,0.75,3.0,2.0,0.75,14.75,10.0,19.0,1.0,6.0,7.0,12.5,15.5,45.275,49.27499999999999,6.25,14.0,12.5
293,T. Leclaire,4.0,1.75,0.0,0.0,3.0,2.25,0.75,15.5,11.75,19.0,1.0,6.0,7.0,12.5,15.5,45.275,52.45,6.0,13.0,13.5
299,T. Schreiber,1.0,0.75,0.25,1.75,4.25,2.5,0.25,31.0,25.75,19.0,1.0,6.0,7.0,12.5,15.5,45.275,49.27499999999999,6.25,14.0,12.5
6,A. Poitras,2.0,2.0,0.0,0.0,5.0,4.0,2.0,19.0,11.0,19.0,7.0,5.0,1.0,12.0,14.0,50.3,44.0,6.333333333333333,14.333333333333334,14.666666666666666
114,J. Bernhardt,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2.3333333333333335,9.0,8.333333333333334,19.0,7.0,6.666666666666667,1.0,12.333333333333334,11.333333333333334,46.833333333333336,45.275,6.0,12.5,15.5
130,J. Koras,0.0,1.5,0.0,0.0,4.5,3.5,1.5,14.5,9.5,19.0,7.0,6.0,1.0,13.0,13.5,52.45,45.275,6.0,12.5,15.5
165,K. Winkoff,0.0,0.5,0.0,1.5,4.0,1.5,1.0,17.5,12.5,19.0,7.0,6.0,1.0,13.0,13.5,52.45,45.275,6.0,12.5,15.5
182,M. Chanenchuk,1.0,0.5,0.75,0.25,5.25,3.5,0.75,25.25,18.5,19.0,7.0,6.25,1.0,14.0,12.5,49.27499999999999,45.275,6.0,12.5,15.5
184,M. Dunn,1.0,1.0,0.0,0.0,1.5,1.5,2.0,5.5,4.0,19.0,7.0,6.0,1.0,13.0,13.5,52.45,45.275,6.0,12.5,15.5
212,M. Rambo,2.0,1.0,0.0,1.25,4.0,2.25,0.25,23.75,16.75,19.0,7.0,6.25,1.0,14.0,12.5,49.27499999999999,45.275,6.0,12.5,15.5
306,TJ Malone,4.0,2.5,0.0,0.75,6.75,4.75,1.5,28.5,20.0,19.0,7.0,6.25,1.0,14.0,12.5,49.27499999999999,41.9,6.0,18.0,13.0
328,Z. Williams,5.0,1.5,0.25,0.25,6.25,3.75,0.75,18.25,11.25,19.0,7.0,6.25,1.0,14.0,12.5,49.27499999999999,45.275,6.0,12.5,15.5
53,C. Kelly,2.0,1.75,0.0,0.0,6.5,3.75,0.0,25.25,17.5,20.0,2.0,10.0,3.0,11.25,12.75,43.925,48.214285714285715,7.142857142857143,12.714285714285714,12.714285714285714
92,E. Walker,0.0,0.5,0.0,0.5,3.5,2.25,1.25,30.5,26.25,20.0,2.0,10.0,3.0,11.25,12.75,43.925,49.849999999999994,7.5,9.5,12.5
124,J. Hannah,2.0,2.0,0.0,1.0,8.0,5.0,3.0,23.0,15.0,20.0,2.0,8.0,3.0,6.0,12.0,44.5,47.86666666666667,7.333333333333333,12.333333333333334,12.333333333333334
160,K. McArdle,5.0,2.25,0.0,1.75,8.25,5.0,1.5,38.25,28.5,20.0,2.0,10.0,3.0,11.25,12.75,43.925,49.04,7.2,11.4,12.6
173,M. Brandau,0.0,0.6666666666666666,0.0,0.3333333333333333,2.6666666666666665,2.3333333333333335,1.0,11.0,7.333333333333333,20.0,2.0,10.666666666666666,3.0,13.0,13.0,43.73333333333333,49.04,7.2,11.4,12.6
217,M. Sowers,5.0,1.75,0.0,2.25,6.5,4.75,0.25,44.75,37.0,20.0,2.0,10.0,3.0,11.25,12.75,43.925,49.04,7.2,11.4,12.6
245,R. Conrad,0.0,1.25,0.0,0.25,5.75,3.75,1.5,21.75,14.75,20.0,2.0,10.0,3.0,11.25,12.75,43.925,49.04,7.2,11.4,12.6
318,Z. Currier,0.0,1.0,0.0,0.75,2.25,1.75,1.75,15.5,12.25,20.0,2.0,10.0,3.0,11.25,12.75,43.925,49.150000000000006,6.5,12.0,13.0
5,A. Nolting,3.0,1.0,0.0,3.0,4.4,2.6,2.0,33.0,25.6,20.0,3.0,7.2,2.0,11.4,12.6,49.04,43.925,10.0,11.25,12.75
9,A. Vardaro,2.0,0.6666666666666666,0.0,0.0,3.3333333333333335,1.6666666666666667,0.0,10.0,6.0,20.0,3.0,6.666666666666667,2.0,9.666666666666666,13.0,50.26666666666667,48.06666666666666,8.0,12.333333333333334,11.333333333333334
16,B. Fairman,0.0,0.0,0.0,0.0,1.5,1.0,1.5,9.0,6.5,20.0,3.0,6.0,2.0,10.0,12.5,51.4,49.04,7.2,11.4,12.6
31,C. Aslanian,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.6666666666666665,1.6666666666666667,0.0,24.666666666666668,20.0,20.0,3.0,8.0,2.0,12.333333333333334,11.333333333333334,48.06666666666666,48.06666666666666,8.0,12.333333333333334,11.333333333333334
60,C. Kirst,3.0,0.5714285714285714,0.0,0.2857142857142857,3.142857142857143,1.8571428571428572,1.0,13.142857142857142,9.714285714285714,20.0,3.0,7.142857142857143,2.0,12.714285714285714,12.714285714285714,48.214285714285715,43.925,10.0,11.25,12.75
71,C. van Raaphorst,0.0,0.0,0.0,0.2,2.4,0.4,3.2,11.4,8.0,20.0,3.0,7.2,2.0,11.4,12.6,49.04,43.73333333333333,10.666666666666666,13.0,13.0
88,E. Rall,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,2.0,5.666666666666667,4.333333333333333,20.0,3.0,7.333333333333333,2.0,12.333333333333334,12.333333333333334,47.86666666666667,44.5,8.0,6.0,12.0
148,J. Trainor,1.0,0.6666666666666666,0.0,0.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,9.0,7.0,20.0,3.0,8.0,2.0,12.333333333333334,11.333333333333334,48.06666666666666,50.26666666666667,6.666666666666667,9.666666666666666,13.0
178,M. Campbell,2.0,1.0,0.8,0.4,5.0,3.4,1.2,27.0,21.6,20.0,3.0,7.2,2.0,11.4,12.6,49.04,51.4,6.0,10.0,12.5
189,M. Holman,4.0,2.2,0.2,0.4,8.0,6.0,2.2,40.2,30.2,20.0,3.0,7.2,2.0,11.4,12.6,49.04,43.925,10.0,11.25,12.75
198,M. Kavanagh,5.0,0.5,0.0,0.25,4.25,2.0,1.25,25.5,19.75,20.0,3.0,6.5,2.0,12.0,13.0,49.150000000000006,43.925,10.0,11.25,12.75
252,R. Drenner,1.0,0.8,0.4,0.2,4.0,2.2,0.8,24.0,19.6,20.0,3.0,7.2,2.0,11.4,12.6,49.04,43.925,10.0,11.25,12.75
324,Z. Tucci,0.0,0.5,0.25,0.0,2.25,1.5,6.25,6.0,3.25,20.0,3.0,7.5,2.0,9.5,12.5,49.849999999999994,43.925,10.0,11.25,12.75
