,P,1G,2G,A,SH,SH%,SOG,GB,TO,TCH,PAS,GID,TID
Kavanagh profile,,,,,,,,,,,,,3
P. Kavanagh,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
35,0,0,0,0,1,0%,0,1,1,5,3,2,3
Rall profile,,,,,,,,,,,,,3
E. Rall,,,,,,,,,,,,,3
LSM,,,,,,,,,,,,,3
3,0,0,0,0,4,0%,1,0,0,16,12,2,3
Aslanian profile,,,,,,,,,,,,,3
C. Aslanian,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
9,0,0,0,0,1,0%,0,0,0,4,3,2,3
Aslanian profile,,,,,,,,,,,,,
P. Aslanian,,,,,,,,,,,,,
SSDM,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,11,4,0,7,12,33.30%,6,2,3,64,49,2,4
Teat profile,,,,,,,,,,,,,4
J. Teat,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
1,8,3,0,5,4,75%,4,3,0,44,40,2,4
Shellenberger profile,,,,,,,,,,,,,4
C. Shellenberger,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
10,4,3,0,1,7,42.90%,4,1,2,18,9,2,4
Dickson profile,,,,,,,,,,,,,4
X. Dickson,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
98,3,2,0,1,6,33.30%,3,5,2,15,7,2,4
Bowering profile,,,,,,,,,,,,,4
R. Bowering,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
6,2,2,0,0,4,50%,4,4,1,35,30,2,4
Aitken profile,,,,,,,,,,,,,4
D. Aitken,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
0,2,0,1,0,2,50%,2,1,0,5,3,2,4
Smith profile,,,,,,,,,,,,,4
K. Smith,,,,,,,,,,,,,4
LSM,,,,,,,,,,,,,4
57,1,1,0,0,1,100%,1,0,0,10,9,2,4
Comizio profile,,,,,,,,,,,,,4
C. Comizio,,,,,,,,,,,,,4
SSDM,,,,,,,,,,,,,4
26,1,1,0,0,6,16.70%,4,0,1,37,30,2,4
Costabile profile,,,,,,,,,,,,,4
