,P,1G,2G,A,SH,SH%,SOG,GB,TO,TCH,PAS,GID,TID
J. Byrne,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
13,3,2,0,1,3,66.70%,3,2,0,6,3,7,5
Geddes profile,,,,,,,,,,,,,5
Z. Geddes,,,,,,,,,,,,,5
SSDM,,,,,,,,,,,,,5
30,3,1,1,0,3,66.70%,3,0,1,25,21,7,5
Perkovic profile,,,,,,,,,,,,,5
S. Perkovic,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
82,3,1,1,0,6,33.30%,3,0,0,16,10,7,5
Kurtz profile,,,,,,,,,,,,,5
T. Kurtz,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
15,2,2,0,0,3,66.70%,3,0,2,11,6,7,5
Scott profile,,,,,,,,,,,,,5
R. Scott,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
1,1,1,0,0,4,25%,2,1,1,17,12,7,5
Jackson profile,,,,,,,,,,,,,5
K. Jackson,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
8,1,1,0,0,1,100%,1,1,0,24,23,7,5
Heningburg profile,,,,,,,,,,,,,5
J. Heningburg,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
73,0,0,0,0,1,0%,1,4,1,3,1,7,5
Rowlett profile,,,,,,,,,,,,,5
N. Rowlett,,,,,,,,,,,,,5
FO,,,,,,,,,,,,,5
24,0,0,0,0,1,0%,0,0,0,4,3,7,5
Bowen profile,,,,,,,,,,,,,5
W. Bowen,,,,,,,,,,,,,5
D,,,,,,,,,,,,,5
10,0,0,0,0,1,0%,1,0,2,5,2,7,5
Reh profile,,,,,,,,,,,,,5
T. Reh,,,,,,,,,,,,,5
LSM,,,,,,,,,,,,,5
27,0,0,0,0,5,0%,2,0,3,35,27,7,5
Knobloch profile,,,,,,,,,,,,,5
S. Knobloch,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
34,0,0,0,0,1,0%,1,1,0,6,5,7,5
Resch profile,,,,,,,,,,,,,
P. Resch,,,,,,,,,,,,,
SSDM,,,,,,,,,,,,,
,,,,,,,,,,,,,
9,3,2,0,1,4,50%,3,0,6,31,21,8,7
Rambo profile,,,,,,,,,,,,,7
M. Rambo,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
36,2,2,0,0,6,33.30%,3,1,1,14,7,8,7
Williams profile,,,,,,,,,,,,,7
Z. Williams,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
7,2,2,0,0,8,25%,5,0,1,31,22,8,7
Malone profile,,,,,,,,,,,,,7
TJ Malone,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
3,2,1,0,1,1,100%,1,2,1,7,5,8,7
Morrill profile,,,,,,,,,,,,,7
J. Morrill,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
76,1,1,0,0,3,33.30%,3,1,0,16,13,8,7
Khan profile,,,,,,,,,,,,,7
K. Khan,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
10,1,1,0,0,3,33.30%,2,0,0,13,10,8,7
Heacock profile,,,,,,,,,,,,,7
C. Heacock,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
77,1,0,0,1,0,0%,0,0,0,2,2,8,7
Zupicich profile,,,,,,,,,,,,,7
S. Zupicich,,,,,,,,,,,,,7
LSM,,,,,,,,,,,,,7
40,0,0,0,0,4,0%,3,0,3,24,17,8,7
Leadmon profile,,,,,,,,,,,,,7
G. Leadmon,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
55,0,0,0,0,2,0%,0,0,0,7,5,8,7
Jackoboice profile,,,,,,,,,,,,,7
W. Jackoboice,,,,,,,,,,,,,7
SSDM,,,,,,,,,,,,,7
91,0,0,0,0,2,0%,1,13,2,15,11,8,7
Nardella profile,,,,,,,,,,,,,7
J. Nardella,,,,,,,,,,,,,7
FO,,,,,,,,,,,,,7
1,0,0,0,0,3,0%,2,1,0,24,21,8,7
Chanenchuk profile,,,,,,,,,,,,,
M. Chanenchuk,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
32,7,1,0,6,5,20%,4,3,3,45,37,8,3
Nolting profile,,,,,,,,,,,,,3
A. Nolting,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
1,5,3,1,0,8,50%,7,3,4,47,35,8,3
Holman profile,,,,,,,,,,,,,3
M. Holman,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
22,3,2,0,1,8,25%,4,0,0,23,15,8,3
Drenner profile,,,,,,,,,,,,,3
R. Drenner,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
51,3,2,0,1,6,33.30%,3,1,0,26,20,8,3
Kavanagh profile,,,,,,,,,,,,,3
P. Kavanagh,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
20,2,2,0,0,5,40%,4,2,1,22,16,8,3
Campbell profile,,,,,,,,,,,,,3
M. Campbell,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
19,1,1,0,0,4,25%,2,0,0,14,10,8,3
Vardaro profile,,,,,,,,,,,,,3
A. Vardaro,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
34,0,0,0,0,4,0%,0,0,0,15,11,8,3
Kirst profile,,,,,,,,,,,,,3
C. Kirst,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
35,0,0,0,0,1,0%,1,2,0,3,2,8,3
Rall profile,,,,,,,,,,,,,3
E. Rall,,,,,,,,,,,,,3
LSM,,,,,,,,,,,,,3
4,0,0,0,0,2,0%,1,5,1,6,3,8,3
Tucci profile,,,,,,,,,,,,,3
Z. Tucci,,,,,,,,,,,,,3
FO,,,,,,,,,,,,,3
77,0,0,0,0,3,0%,0,0,1,8,4,8,3
van Raaphorst profile,,,,,,,,,,,,,3
C. van Raaphorst,,,,,,,,,,,,,3
D,,,,,,,,,,,,,3
50,0,0,0,0,5,0%,2,4,0,40,35,8,3
Kavanagh profile,,,,,,,,,,,,,3
M. Kavanagh,,,,,,,,,,,,,
A,,,,,,,,,,,,,
,,,,,,,,,,,,,
4,4,2,1,0,4,75%,4,13,0,11,7,9,3
Tucci profile,,,,,,,,,,,,,3
Z. Tucci,,,,,,,,,,,,,3
FO,,,,,,,,,,,,,3
32,3,1,0,2,6,16.70%,5,1,4,19,9,9,3
Nolting profile,,,,,,,,,,,,,3
A. Nolting,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
20,3,1,1,0,4,50%,2,2,1,28,23,9,3
Campbell profile,,,,,,,,,,,,,3
M. Campbell,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
34,1,1,0,0,2,50%,2,3,0,12,10,9,3
Kirst profile,,,,,,,,,,,,,3
C. Kirst,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
50,1,1,0,0,5,20%,2,0,3,26,18,9,3
Kavanagh profile,,,,,,,,,,,,,3
M. Kavanagh,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
51,1,1,0,0,3,33.30%,1,1,1,22,18,9,3
Kavanagh profile,,,,,,,,,,,,,3
P. Kavanagh,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
1,1,1,0,0,9,11.10%,7,3,3,39,27,9,3
Holman profile,,,,,,,,,,,,,3
M. Holman,,,,,,,,,,,,,3
A,,,,,,,,,,,,,3
2,0,0,0,0,1,0%,1,3,2,10,7,9,3
Fairman profile,,,,,,,,,,,,,3
B. Fairman,,,,,,,,,,,,,3
SSDM,,,,,,,,,,,,,3
77,0,0,0,0,1,0%,0,5,0,7,6,9,3
van Raaphorst profile,,,,,,,,,,,,,3
C. van Raaphorst,,,,,,,,,,,,,3
D,,,,,,,,,,,,,3
22,0,0,0,0,2,0%,1,1,0,22,20,9,3
Drenner profile,,,,,,,,,,,,,3
R. Drenner,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
19,0,0,0,0,2,0%,2,0,1,6,3,9,3
Vardaro profile,,,,,,,,,,,,,3
A. Vardaro,,,,,,,,,,,,,3
M,,,,,,,,,,,,,3
14,0,0,0,0,1,0%,1,0,2,5,2,9,3
Goodrich profile,,,,,,,,,,,,,
Z. Goodrich,,,,,,,,,,,,,
SSDM,,,,,,,,,,,,,
,,,,,,,,,,,,,
22,8,3,0,5,4,75%,3,0,2,52,46,9,2
Sowers profile,,,,,,,,,,,,,2
M. Sowers,,,,,,,,,,,,,2
A,,,,,,,,,,,,,2
6,6,4,0,2,9,44.40%,5,0,1,41,31,9,2
McArdle profile,,,,,,,,,,,,,2
K. McArdle,,,,,,,,,,,,,2
A,,,,,,,,,,,,,2
15,2,2,0,0,8,25%,6,1,1,18,9,9,2
Conrad profile,,,,,,,,,,,,,2
R. Conrad,,,,,,,,,,,,,2
M,,,,,,,,,,,,,2
77,1,1,0,0,2,50%,2,4,2,18,14,9,2
Currier profile,,,,,,,,,,,,,2
Z. Currier,,,,,,,,,,,,,2
M,,,,,,,,,,,,,2
40,1,1,0,0,8,12.50%,5,0,3,36,25,9,2
Kelly profile,,,,,,,,,,,,,2
C. Kelly,,,,,,,,,,,,,2
M,,,,,,,,,,,,,2
19,0,0,0,0,1,0%,1,1,1,12,10,9,2
Carraway profile,,,,,,,,,,,,,2
J. Carraway,,,,,,,,,,,,,2
M,,,,,,,,,,,,,2
36,0,0,0,0,2,0%,2,0,0,9,7,9,2
Brandau profile,,,,,,,,,,,,,2
M. Brandau,,,,,,,,,,,,,2
A,,,,,,,,,,,,,2
57,0,0,0,0,4,0%,3,1,1,36,31,9,2
Walker profile,,,,,,,,,,,,,2
E. Walker,,,,,,,,,,,,,2
A,,,,,,,,,,,,,2
12,0,0,0,0,2,0%,0,0,0,9,7,9,2
McConvey profile,,,,,,,,,,,,,
T. McConvey,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
26,4,2,0,2,6,33.30%,3,0,1,32,25,10,1
Schreiber profile,,,,,,,,,,,,10,1
T. Schreiber,,,,,,,,,,,,10,1
M,,,,,,,,,,,,10,1
7,3,2,0,1,9,22.20%,6,0,2,25,14,10,1
O'Keefe profile,,,,,,,,,,,,10,1
M. O'Keefe,,,,,,,,,,,,10,1
A,,,,,,,,,,,,10,1
13,3,2,0,1,5,40%,3,0,2,14,7,10,1
Ambler profile,,,,,,,,,,,,10,1
R. Ambler,,,,,,,,,,,,10,1
M,,,,,,,,,,,,10,1
16,2,2,0,0,6,33.30%,4,1,1,30,23,10,1
Ament profile,,,,,,,,,,,,10,1
G. Ament,,,,,,,,,,,,10,1
M,,,,,,,,,,,,10,1
5,2,1,0,1,6,16.70%,3,0,1,26,19,10,1
Fields profile,,,,,,,,,,,,10,1
C. Fields,,,,,,,,,,,,10,1
A,,,,,,,,,,,,10,1
77,0,0,0,0,1,0%,0,2,0,10,9,10,1
Woodward profile,,,,,,,,,,,,10,1
M. Woodward,,,,,,,,,,,,10,1
D,,,,,,,,,,,,10,1
44,0,0,0,0,3,0%,1,0,0,15,12,10,1
Leclaire profile,,,,,,,,,,,,10,1
T. Leclaire,,,,,,,,,,,,10,1
M,,,,,,,,,,,,10,1
11,0,0,0,0,3,0%,0,0,1,27,23,10,1
Moore profile,,,,,,,,,,,,10,1
M. Moore,,,,,,,,,,,,10,1
A,,,,,,,,,,,,10,1
20,0,0,0,0,1,0%,0,2,0,5,4,10,1
Wyers profile,,,,,,,,,,,,10,
C. Wyers,,,,,,,,,,,,,
D,,,,,,,,,,,,,
,,,,,,,,,,,,,
22,3,2,0,1,10,20%,5,2,2,39,27,10,5
Byrne profile,,,,,,,,,,,,10,5
J. Byrne,,,,,,,,,,,,10,5
A,,,,,,,,,,,,10,5
66,2,2,0,0,5,40%,4,0,1,19,13,10,5
Dobson profile,,,,,,,,,,,,10,5
E. Dobson,,,,,,,,,,,,10,5
M,,,,,,,,,,,,10,5
7,1,1,0,0,4,25%,3,1,0,15,11,10,5
Minicus profile,,,,,,,,,,,,10,5
B. Minicus,,,,,,,,,,,,10,5
A,,,,,,,,,,,,10,5
55,1,1,0,0,2,50%,2,0,0,9,7,10,5
MacKay profile,,,,,,,,,,,,10,5
I. MacKay,,,,,,,,,,,,10,5
SSDM,,,,,,,,,,,,10,5
27,1,1,0,0,6,16.70%,4,1,1,25,18,10,5
Knobloch profile,,,,,,,,,,,,10,5
S. Knobloch,,,,,,,,,,,,10,5
M,,,,,,,,,,,,10,5
0,1,0,0,1,0,0%,0,2,0,14,14,10,5
Riorden profile,,,,,,,,,,,,10,5
B. Riorden,,,,,,,,,,,,10,5
G,,,,,,,,,,,,10,5
8,1,0,0,1,5,0%,5,3,2,31,24,10,5
Heningburg profile,,,,,,,,,,,,10,5
J. Heningburg,,,,,,,,,,,,10,5
A,,,,,,,,,,,,10,5
73,0,0,0,0,1,0%,0,10,2,9,6,10,5
Rowlett profile,,,,,,,,,,,,10,5
N. Rowlett,,,,,,,,,,,,10,5
FO,,,,,,,,,,,,10,5
82,0,0,0,0,1,0%,1,2,1,19,17,10,5
Kurtz profile,,,,,,,,,,,,10,5
T. Kurtz,,,,,,,,,,,,10,5
A,,,,,,,,,,,,10,5
1,0,0,0,0,1,0%,1,2,2,17,14,10,5
Jackson profile,,,,,,,,,,,,10,5
K. Jackson,,,,,,,,,,,,10,5
M,,,,,,,,,,,,10,5
9,0,0,0,0,1,0%,1,2,0,2,1,10,5
Costabile profile,,,,,,,,,,,,10,5
CJ Costabile,,,,,,,,,,,,10,5
LSM,,,,,,,,,,,,10,5
99,0,0,0,0,1,0%,1,2,1,6,4,10,5
Rowlett profile,,,,,,,,,,,,10,5
J. Rowlett,,,,,,,,,,,,10,5
D,,,,,,,,,,,,10,5
15,0,0,0,0,1,0%,0,0,0,8,7,10,5
Scott profile,,,,,,,,,,,,10,5
R. Scott,,,,,,,,,,,,10,5
A,,,,,,,,,,,,10,5
34,0,0,0,0,1,0%,0,1,1,11,9,10,5
Resch profile,,,,,,,,,,,,,
P. Resch,,,,,,,,,,,,,
SSDM,,,,,,,,,,,,,
,,,,,,,,,,,,,
50,7,2,1,3,12,25%,9,1,1,28,15,11,8
Garnsey profile,,,,,,,,,,,,11,8
R. Garnsey,,,,,,,,,,,,11,8
A,,,,,,,,,,,,11,8
3,3,2,0,1,8,25%,4,1,1,35,26,11,8
Pannell profile,,,,,,,,,,,,11,8
R. Pannell,,,,,,,,,,,,11,8
A,,,,,,,,,,,,11,8
4,2,2,0,0,4,50%,3,1,3,22,15,11,8
Gray profile,,,,,,,,,,,,11,8
C. Gray,,,,,,,,,,,,11,8
A,,,,,,,,,,,,11,8
41,2,2,0,0,6,33.30%,3,1,3,24,15,11,8
Bertrand profile,,,,,,,,,,,,11,8
C. Bertrand,,,,,,,,,,,,11,8
M,,,,,,,,,,,,11,8
44,2,1,0,1,5,20%,4,1,1,19,13,11,8
Degnon profile,,,,,,,,,,,,11,8
G. Degnon,,,,,,,,,,,,11,8
M,,,,,,,,,,,,11,8
14,2,1,0,1,1,100%,1,0,0,14,13,11,8
Berg profile,,,,,,,,,,,,11,8
W. Berg,,,,,,,,,,,,11,8
A,,,,,,,,,,,,11,8
47,2,1,0,1,2,50%,2,0,0,14,12,11,8
Kirst profile,,,,,,,,,,,,11,8
C. Kirst,,,,,,,,,,,,11,8
M,,,,,,,,,,,,11,8
12,1,1,0,0,2,50%,2,2,2,10,6,11,8
Tevlin profile,,,,,,,,,,,,11,8
B. Tevlin,,,,,,,,,,,,11,8
SSDM,,,,,,,,,,,,11,8
6,1,1,0,0,2,50%,1,14,1,14,11,11,8
Ierlan profile,,,,,,,,,,,,11,8
TD Ierlan,,,,,,,,,,,,11,8
FO,,,,,,,,,,,,11,8
40,1,0,0,1,0,0%,0,1,0,2,2,11,8
Cohen profile,,,,,,,,,,,,11,8
A. Cohen,,,,,,,,,,,,11,8
D,,,,,,,,,,,,11,8
26,1,0,0,1,0,0%,0,1,0,4,4,11,8
Davis-Allen profile,,,,,,,,,,,,11,8
I. Davis-Allen,,,,,,,,,,,,11,8
SSDM,,,,,,,,,,,,11,8
1,0,0,0,0,1,0%,1,1,2,10,7,11,8
Montgomery profile,,,,,,,,,,,,11,8
N. Montgomery,,,,,,,,,,,,11,8
M,,,,,,,,,,,,11,8
28,0,0,0,0,1,0%,1,2,1,6,4,11,8
Conners profile,,,,,,,,,,,,,
J. Conners,,,,,,,,,,,,,
LSM,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,8,4,0,4,7,57.10%,5,2,3,32,22,11,4
Teat profile,,,,,,,,,,,,11,4
J. Teat,,,,,,,,,,,,11,4
A,,,,,,,,,,,,11,4
1,7,4,0,3,6,66.70%,5,2,2,35,27,11,4
Shellenberger profile,,,,,,,,,,,,11,4
C. Shellenberger,,,,,,,,,,,,11,4
A,,,,,,,,,,,,11,4
8,5,1,1,2,3,66.70%,3,1,2,11,6,11,4
Jones profile,,,,,,,,,,,,11,4
M. Jones,,,,,,,,,,,,11,4
M,,,,,,,,,,,,11,4
10,3,3,0,0,6,50%,4,1,0,13,7,11,4
Dickson profile,,,,,,,,,,,,11,4
X. Dickson,,,,,,,,,,,,11,4
A,,,,,,,,,,,,11,4
6,2,2,0,0,7,28.60%,5,0,0,19,12,11,4
Aitken profile,,,,,,,,,,,,11,4
D. Aitken,,,,,,,,,,,,11,4
M,,,,,,,,,,,,11,4
26,2,0,0,2,5,0%,2,1,0,18,13,11,4
Costabile profile,,,,,,,,,,,,11,4
B. Costabile,,,,,,,,,,,,11,4
M,,,,,,,,,,,,11,4
57,1,1,0,0,1,100%,1,1,1,11,9,11,4
Comizio profile,,,,,,,,,,,,11,4
C. Comizio,,,,,,,,,,,,11,4
SSDM,,,,,,,,,,,,11,4
91,1,1,0,0,2,50%,2,1,0,10,8,11,4
Logan profile,,,,,,,,,,,,11,4
D. Logan,,,,,,,,,,,,11,4
SSDM,,,,,,,,,,,,11,4
34,1,1,0,0,2,50%,2,2,0,5,3,11,4
Rezanka profile,,,,,,,,,,,,11,4
P. Rezanka,,,,,,,,,,,,11,4
SSDM,,,,,,,,,,,,11,4
4,1,1,0,0,2,50%,1,0,1,5,2,11,4
Molloy profile,,,,,,,,,,,,11,4
D. Molloy,,,,,,,,,,,,11,4
M,,,,,,,,,,,,11,4
88,1,0,0,1,2,0%,2,1,0,9,7,11,4
Jacoby profile,,,,,,,,,,,,11,4
R. Jacoby,,,,,,,,,,,,11,4
M,,,,,,,,,,,,11,4
43,1,0,0,1,0,0%,0,1,1,12,11,11,4
Makar profile,,,,,,,,,,,,11,4
B. Makar,,,,,,,,,,,,11,4
D,,,,,,,,,,,,11,4
9,0,0,0,0,1,0%,1,6,0,10,9,11,4
Baptiste profile,,,,,,,,,,,,11,4
T. Baptiste,,,,,,,,,,,,11,4
FO,,,,,,,,,,,,11,4
0,0,0,0,0,1,0%,1,2,0,7,6,11,4
Smith profile,,,,,,,,,,,,,
K. Smith,,,,,,,,,,,,,
LSM,,,,,,,,,,,,,
,,,,,,,,,,,,,
3,3,1,0,2,4,25%,4,0,3,22,15,12,7
Morrill profile,,,,,,,,,,,,12,7
J. Morrill,,,,,,,,,,,,12,7
A,,,,,,,,,,,,12,7
36,3,0,1,1,9,11.10%,5,1,1,19,9,12,7
Williams profile,,,,,,,,,,,,12,7
Z. Williams,,,,,,,,,,,,12,7
A,,,,,,,,,,,,12,7
1,3,0,1,1,2,50%,2,0,2,19,15,12,7
Chanenchuk profile,,,,,,,,,,,,12,7
M. Chanenchuk,,,,,,,,,,,,12,7
M,,,,,,,,,,,,12,7
10,2,2,0,0,6,33.30%,5,0,2,15,7,12,7
Heacock profile,,,,,,,,,,,,12,7
C. Heacock,,,,,,,,,,,,12,7
M,,,,,,,,,,,,12,7
33,2,2,0,0,2,100%,2,2,0,5,3,12,7
Dunn profile,,,,,,,,,,,,12,7
M. Dunn,,,,,,,,,,,,12,7
D,,,,,,,,,,,,12,7
7,2,2,0,0,6,33.30%,5,3,3,35,26,12,7
Malone profile,,,,,,,,,,,,12,7
TJ Malone,,,,,,,,,,,,12,7
A,,,,,,,,,,,,12,7
48,2,1,0,1,4,25%,1,1,1,17,12,12,7
Winkoff profile,,,,,,,,,,,,12,7
K. Winkoff,,,,,,,,,,,,12,7
M,,,,,,,,,,,,12,7
9,2,1,0,1,4,25%,1,0,0,22,18,12,7
Rambo profile,,,,,,,,,,,,12,7
M. Rambo,,,,,,,,,,,,12,7
A,,,,,,,,,,,,12,7
15,1,1,0,0,5,20%,3,1,0,17,12,12,7
Koras profile,,,,,,,,,,,,12,7
J. Koras,,,,,,,,,,,,12,7
M,,,,,,,,,,,,12,7
39,1,1,0,0,1,100%,1,5,0,5,4,12,7
Squires profile,,,,,,,,,,,,12,7
C. Squires,,,,,,,,,,,,12,7
LSM,,,,,,,,,,,,12,7
8,1,0,0,1,0,0%,0,0,1,9,8,12,7
Puglise profile,,,,,,,,,,,,12,7
R. Puglise,,,,,,,,,,,,12,7
SSDM,,,,,,,,,,,,12,7
40,0,0,0,0,3,0%,1,1,1,14,10,12,7
Leadmon profile,,,,,,,,,,,,,
G. Leadmon,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
77,5,3,0,2,4,75%,4,1,1,19,14,12,2
Currier profile,,,,,,,,,,,,12,2
Z. Currier,,,,,,,,,,,,12,2
M,,,,,,,,,,,,12,2
22,3,3,0,0,10,30%,8,0,0,44,34,12,2
Sowers profile,,,,,,,,,,,,12,2
M. Sowers,,,,,,,,,,,,12,2
A,,,,,,,,,,,,12,2
6,3,2,0,1,8,25%,5,1,1,36,27,12,2
McArdle profile,,,,,,,,,,,,12,2
K. McArdle,,,,,,,,,,,,12,2
A,,,,,,,,,,,,12,2
19,2,2,0,0,5,40%,2,2,0,16,11,12,2
Carraway profile,,,,,,,,,,,,12,2
J. Carraway,,,,,,,,,,,,12,2
M,,,,,,,,,,,,12,2
57,2,1,0,1,3,33.30%,2,1,2,27,22,12,2
Walker profile,,,,,,,,,,,,12,2
E. Walker,,,,,,,,,,,,12,2
A,,,,,,,,,,,,12,2
15,2,1,0,1,5,20%,2,2,0,25,20,12,2
Conrad profile,,,,,,,,,,,,12,2
R. Conrad,,,,,,,,,,,,12,2
M,,,,,,,,,,,,12,2
36,1,1,0,0,3,33.30%,3,2,2,14,9,12,2
Brandau profile,,,,,,,,,,,,12,2
M. Brandau,,,,,,,,,,,,12,2
A,,,,,,,,,,,,12,2
40,1,1,0,0,4,25%,1,0,2,14,8,12,2
Kelly profile,,,,,,,,,,,,12,2
C. Kelly,,,,,,,,,,,,12,2
M,,,,,,,,,,,,12,2
44,1,0,0,1,0,0%,0,1,0,14,14,12,2
Randall profile,,,,,,,,,,,,12,2
B. Randall,,,,,,,,,,,,12,2
D,,,,,,,,,,,,12,2
33,0,0,0,0,2,0%,0,0,0,3,1,12,2
Whitcher profile,,,,,,,,,,,,12,2
M. Whitcher,,,,,,,,,,,,12,2
SSDM,,,,,,,,,,,,12,2
21,0,0,0,0,1,0%,0,0,1,12,10,12,2
Byrnes profile,,,,,,,,,,,,,
L. Byrnes,,,,,,,,,,,,,
D,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,5,2,0,3,6,33.30%,6,2,0,34,28,13,4
Teat profile,,,,,,,,,,,,13,4
J. Teat,,,,,,,,,,,,13,4
A,,,,,,,,,,,,13,4
10,4,2,0,2,8,25%,4,1,1,19,10,13,4
Dickson profile,,,,,,,,,,,,13,4
X. Dickson,,,,,,,,,,,,13,4
A,,,,,,,,,,,,13,4
26,3,3,0,0,7,42.90%,4,1,1,20,12,13,4
Costabile profile,,,,,,,,,,,,13,4
B. Costabile,,,,,,,,,,,,13,4
M,,,,,,,,,,,,13,4
14,2,2,0,0,5,40%,3,1,0,9,4,13,4
Stevens profile,,,,,,,,,,,,13,4
J. Stevens,,,,,,,,,,,,13,4
M,,,,,,,,,,,,13,4
1,2,1,0,1,3,33.30%,3,3,2,34,29,13,4
Shellenberger profile,,,,,,,,,,,,13,4
C. Shellenberger,,,,,,,,,,,,13,4
A,,,,,,,,,,,,13,4
5,1,1,0,0,2,50%,2,3,0,12,10,13,4
Carpenter profile,,,,,,,,,,,,13,4
T. Carpenter,,,,,,,,,,,,13,4
LSM,,,,,,,,,,,,13,4
8,1,1,0,0,3,33.30%,2,1,0,14,11,13,4
Jones profile,,,,,,,,,,,,13,4
M. Jones,,,,,,,,,,,,13,4
M,,,,,,,,,,,,13,4
22,0,0,0,0,1,0%,1,2,0,9,8,13,4
Rexrode profile,,,,,,,,,,,,13,4
M. Rexrode,,,,,,,,,,,,13,4
D,,,,,,,,,,,,13,4
9,0,0,0,0,1,0%,0,6,1,7,5,13,4
Baptiste profile,,,,,,,,,,,,13,4
T. Baptiste,,,,,,,,,,,,13,4
FO,,,,,,,,,,,,13,4
6,0,0,0,0,3,0%,2,3,2,19,14,13,4
Aitken profile,,,,,,,,,,,,13,4
D. Aitken,,,,,,,,,,,,13,4
M,,,,,,,,,,,,13,4
91,0,0,0,0,3,0%,1,1,0,10,7,13,4
Logan profile,,,,,,,,,,,,13,4
D. Logan,,,,,,,,,,,,13,4
SSDM,,,,,,,,,,,,13,4
24,0,0,0,0,2,0%,1,1,1,8,5,13,4
Cormier profile,,,,,,,,,,,,13,4
P. Cormier,,,,,,,,,,,,13,4
A,,,,,,,,,,,,13,4
42,0,0,0,0,1,0%,0,1,1,11,9,13,4
Troutner profile,,,,,,,,,,,,,
T. Troutner,,,,,,,,,,,,,
G,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,3,3,0,0,7,42.90%,4,2,2,23,14,13,7
Malone profile,,,,,,,,,,,,13,7
TJ Malone,,,,,,,,,,,,13,7
A,,,,,,,,,,,,13,7
24,3,2,0,1,5,40%,4,1,2,20,13,13,7
Anderson profile,,,,,,,,,,,,13,7
L. Anderson,,,,,,,,,,,,13,7
A,,,,,,,,,,,,13,7
51,2,2,0,0,5,40%,4,2,3,19,11,13,7
Poitras profile,,,,,,,,,,,,13,7
A. Poitras,,,,,,,,,,,,13,7
M,,,,,,,,,,,,13,7
15,2,2,0,0,4,50%,4,2,1,12,7,13,7
Koras profile,,,,,,,,,,,,13,7
J. Koras,,,,,,,,,,,,13,7
M,,,,,,,,,,,,13,7
36,2,2,0,0,4,50%,3,0,0,21,17,13,7
Williams profile,,,,,,,,,,,,13,7
Z. Williams,,,,,,,,,,,,13,7
A,,,,,,,,,,,,13,7
9,2,1,0,1,5,20%,3,1,4,26,17,13,7
Rambo profile,,,,,,,,,,,,13,7
M. Rambo,,,,,,,,,,,,13,7
A,,,,,,,,,,,,13,7
48,2,0,0,2,4,0%,2,1,1,18,13,13,7
Winkoff profile,,,,,,,,,,,,13,7
K. Winkoff,,,,,,,,,,,,13,7
M,,,,,,,,,,,,13,7
8,1,1,0,0,3,33.30%,1,3,0,12,9,13,7
Puglise profile,,,,,,,,,,,,13,7
R. Puglise,,,,,,,,,,,,13,7
SSDM,,,,,,,,,,,,13,7
10,1,1,0,0,1,100%,1,2,0,17,16,13,7
Heacock profile,,,,,,,,,,,,13,7
C. Heacock,,,,,,,,,,,,13,7
M,,,,,,,,,,,,13,7
91,1,1,0,0,2,50%,2,5,1,11,8,13,7
Nardella profile,,,,,,,,,,,,13,7
J. Nardella,,,,,,,,,,,,13,7
FO,,,,,,,,,,,,13,7
1,1,1,0,0,6,16.70%,3,2,3,33,24,13,7
Chanenchuk profile,,,,,,,,,,,,13,7
M. Chanenchuk,,,,,,,,,,,,13,7
M,,,,,,,,,,,,13,7
77,0,0,0,0,1,0%,0,1,1,3,1,13,7
Zupicich profile,,,,,,,,,,,,13,7
S. Zupicich,,,,,,,,,,,,13,7
LSM,,,,,,,,,,,,13,7
33,0,0,0,0,1,0%,1,2,0,6,5,13,7
Dunn profile,,,,,,,,,,,,13,7
