,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%
111,R. Garnsey,3.25,1.0,0.25,1.75,7.0,3.25,0.75,37.0,26.25,12.0,8.0,7.5,4.5,13.0,13.0,46.225
112,R. Jacoby,1.0,0.4,0.0,0.6,2.6,1.8,0.8,16.4,13.6,8.4,4.0,6.0,5.8,11.2,13.0,47.760000000000005
113,R. Kennedy,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,5.0,8.0,5.0,5.0,12.0,12.0,48.9
114,R. Miezan,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,17.0,8.0,7.0,3.0,7.0,13.0,45.7
115,R. Pannell,2.5,1.25,0.0,1.25,7.5,3.5,2.0,39.5,30.0,12.0,8.0,7.5,4.5,13.0,13.0,46.225
116,R. Puglise,1.0,0.6666666666666666,0.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,9.666666666666666,7.666666666666667,9.666666666666666,7.0,5.333333333333333,3.3333333333333335,14.333333333333334,12.0,50.6
117,R. Rees,2.0,0.0,1.0,0.0,2.0,2.0,3.0,6.0,3.0,16.0,2.0,8.0,5.0,6.0,12.0,44.5
118,R. Scott,1.4,1.2,0.0,0.2,3.2,2.0,0.4,16.2,12.0,8.2,5.0,5.8,4.2,11.2,13.4,43.68
119,R. Terefenko,1.5,1.0,0.0,0.5,1.5,1.5,0.5,14.5,13.0,9.0,6.0,7.5,6.5,12.0,8.0,49.05
120,S. Handley,2.5,0.75,0.25,1.25,6.0,3.25,0.5,23.5,16.25,10.5,6.0,7.0,4.5,14.5,10.0,47.6
121,S. Knobloch,0.8,0.6,0.0,0.2,4.2,2.0,0.6,24.8,19.4,8.2,5.0,5.8,4.2,11.2,13.4,43.68
122,S. Perkovic,2.0,0.6666666666666666,0.6666666666666666,0.0,2.6666666666666665,2.3333333333333335,0.6666666666666666,16.666666666666668,12.666666666666666,5.0,5.0,5.333333333333333,6.0,12.333333333333334,15.0,42.13333333333333
123,S. Zupicich,0.5,0.0,0.0,0.5,0.5,0.0,0.5,2.5,1.5,10.5,7.0,7.0,3.5,12.5,14.0,47.8
124,T. Baptiste,0.8,0.6,0.0,0.2,1.4,1.0,7.8,10.0,8.2,10.6,4.0,7.2,6.6,12.0,13.2,45.96
125,T. Carpenter,1.0,0.5,0.25,0.0,1.5,1.25,6.0,10.25,8.5,10.5,4.0,6.5,6.25,11.25,12.5,46.275000000000006
126,T. Kurtz,1.75,0.75,0.25,0.5,3.0,2.0,1.0,21.25,17.0,6.25,5.0,6.25,4.75,11.5,14.0,42.9
127,T. Leclaire,2.2,1.8,0.2,0.0,3.2,2.6,0.8,14.6,10.8,10.0,1.0,6.0,4.6,12.2,15.4,45.8
128,T. McConvey,0.0,0.0,0.0,0.0,1.5,0.5,0.0,8.0,6.5,5.0,2.0,11.0,2.0,12.0,11.0,45.2
129,T. Reh,0.0,0.0,0.0,0.0,1.0,1.0,1.5,5.5,3.5,11.5,5.0,5.5,3.0,12.5,12.0,42.7
130,T. Schreiber,2.6,0.6,0.2,1.6,4.4,2.2,0.2,29.2,23.6,10.0,1.0,6.0,4.6,12.2,15.4,45.8
131,T. Troutner,0.0,0.0,0.0,0.0,1.0,0.5,2.0,13.5,12.0,10.0,4.0,9.5,6.0,14.0,11.0,46.400000000000006
132,TD Ierlan,1.0,1.0,0.0,0.0,2.3333333333333335,1.3333333333333333,11.666666666666666,10.666666666666666,8.0,10.333333333333334,8.0,7.666666666666667,5.0,15.0,13.0,46.4
133,TJ Malone,3.4,2.4,0.0,1.0,7.0,4.6,1.6,29.8,21.0,11.2,7.0,6.2,2.8,14.4,12.0,47.98
134,W. Berg,2.25,2.0,0.0,0.25,2.75,2.25,0.75,14.75,11.25,12.0,8.0,7.5,4.5,13.0,13.0,46.225
135,W. Bowen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,7.0,5.0,7.0,4.0,15.0,13.0,38.6
136,W. Jackoboice,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,5.0,8.0,7.0,9.0,3.0,13.0,14.0,45.3
137,X. Dickson,3.6666666666666665,3.0,0.0,0.6666666666666666,6.166666666666667,4.333333333333333,1.5,20.166666666666668,13.0,9.166666666666666,4.0,6.5,6.0,12.0,13.166666666666666,46.083333333333336
138,Z. Currier,1.4,0.8,0.0,0.6,2.4,1.6,2.2,17.8,14.2,11.6,2.0,9.4,3.8,11.8,12.8,45.28
139,Z. Geddes,1.0,0.6666666666666666,0.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,7.666666666666667,6.0,9.333333333333334,5.0,5.666666666666667,4.666666666666667,12.0,13.333333333333334,43.46666666666667
140,Z. Goodrich,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,9.0,3.0,4.0,2.0,11.0,15.0,53.0
141,Z. Tucci,0.8,0.4,0.2,0.0,2.2,1.2,6.6,6.2,3.4,13.6,3.0,6.8,4.0,9.6,13.0,48.339999999999996
142,Z. Williams,2.8,2.0,0.2,0.4,7.6,4.8,0.8,20.4,12.0,11.2,7.0,6.2,2.8,14.4,12.0,47.98
